Metric,Value
total_trades,10
winning_trades,4
losing_trades,6
trades_per_day,2.3263327948303716
win_rate,40.0
profit_factor,0.517604498367528
r_ratio,0.7764067475512919
avg_win,1.2841250000000002
avg_loss,1.6539333333333335
expectancy,-0.47870999999999997
kelly_criterion,-0.37279081086342836
total_pnl,-4.7871
total_return_pct,-4.7871
gross_profit,5.136500000000001
gross_loss,9.9236
total_fees,1.6381
best_trade,1.9309
worst_trade,-3.0595
cagr_pct,
cagr_note,insufficient_data (< 30d)
elapsed_days,4.298611111111111
sharpe_ratio,0.0
sortino_ratio,0.0
calmar_ratio,0.0
sharpe_note,insufficient_period (< 30d)
max_drawdown_pct,7.630420399269686
max_drawdown_usdt,7.865300000000005
recovery_factor,-0.6086353985226243
max_consecutive_wins,2
max_consecutive_losses,3
consecutive_loss_drawdown,4.846
avg_holding_time_hours,1.2666666666666666
avg_holding_time_winners_hours,1.75
avg_holding_time_losers_hours,0.9444444444444445
long_stats.count,3
long_stats.win_rate,33.33333333333333
long_stats.avg_pnl,-0.5146
long_stats.total_pnl,-1.5437999999999998
long_stats.profit_factor,0.5049225539556811
short_stats.count,7
short_stats.win_rate,42.857142857142854
short_stats.avg_pnl,-0.46332857142857137
short_stats.total_pnl,-3.2432999999999996
short_stats.profit_factor,0.5234155731562166
mae_mfe_avg_mae,
mae_mfe_avg_mfe,
mae_mfe_avg_mae_winners,
mae_mfe_avg_mae_losers,
mae_mfe_avg_mfe_winners,
mae_mfe_avg_mfe_losers,
initial_capital,100.0
mode,backtest
calculated_at,2026-05-15T13:28:49.443735+00:00
