Metric,Value
total_trades,4
winning_trades,2
losing_trades,2
trades_per_day,0.4918872758326217
win_rate,50.0
profit_factor,0.6819596191189201
r_ratio,0.6819596191189201
avg_win,1.4574500000000001
avg_loss,2.13715
expectancy,-0.33985
kelly_criterion,-0.23318124120896078
total_pnl,-1.3594000000000004
total_return_pct,-1.4280437818658365
gross_profit,2.9149000000000003
gross_loss,4.2743
total_fees,0.6702
best_trade,1.5398
worst_trade,-2.3492
cagr_pct,
cagr_note,insufficient_data (< 30d)
elapsed_days,8.131944444444445
sharpe_ratio,0.0
sortino_ratio,0.0
calmar_ratio,0.0
sharpe_note,insufficient_period (< 30d)
max_drawdown_pct,4.490133541878135
max_drawdown_usdt,4.274299999999997
recovery_factor,-0.3180403808810803
max_consecutive_wins,2
max_consecutive_losses,2
consecutive_loss_drawdown,4.2743
avg_holding_time_hours,1.7708333333333335
avg_holding_time_winners_hours,2.0833333333333335
avg_holding_time_losers_hours,1.4583333333333333
long_stats.count,1
long_stats.win_rate,100.0
long_stats.avg_pnl,1.5398
long_stats.total_pnl,1.5398
long_stats.profit_factor,999.0
short_stats.count,3
short_stats.win_rate,33.33333333333333
short_stats.avg_pnl,-0.9664000000000001
short_stats.total_pnl,-2.8992000000000004
short_stats.profit_factor,0.32171349694686846
mae_mfe_avg_mae,
mae_mfe_avg_mfe,
mae_mfe_avg_mae_winners,
mae_mfe_avg_mae_losers,
mae_mfe_avg_mfe_winners,
mae_mfe_avg_mfe_losers,
initial_capital,95.19315985003287
mode,backtest
calculated_at,2026-05-15T13:28:49.653154+00:00
