Metric,Value
total_trades,5
winning_trades,2
losing_trades,3
trades_per_day,0.5466970387243736
win_rate,40.0
profit_factor,0.46066605608277955
r_ratio,0.6909990841241693
avg_win,1.182
avg_loss,1.7105666666666668
expectancy,-0.55354
kelly_criterion,-0.46830795262267344
total_pnl,-2.7677
total_return_pct,-2.9507533431833837
gross_profit,2.364
gross_loss,5.1317
total_fees,0.7922999999999999
best_trade,1.3148
worst_trade,-2.053
cagr_pct,
cagr_note,insufficient_data (< 30d)
elapsed_days,9.145833333333334
sharpe_ratio,0.0
sortino_ratio,0.0
calmar_ratio,0.0
sharpe_note,insufficient_period (< 30d)
max_drawdown_pct,5.336605025885997
max_drawdown_usdt,5.131699999999995
recovery_factor,-0.5393339439172209
max_consecutive_wins,2
max_consecutive_losses,3
consecutive_loss_drawdown,5.1317
avg_holding_time_hours,2.4166666666666665
avg_holding_time_winners_hours,0.9583333333333333
avg_holding_time_losers_hours,3.388888888888889
long_stats.count,2
long_stats.win_rate,0.0
long_stats.avg_pnl,-1.8159999999999998
long_stats.total_pnl,-3.6319999999999997
long_stats.profit_factor,0.0
short_stats.count,3
short_stats.win_rate,66.66666666666666
short_stats.avg_pnl,0.28809999999999997
short_stats.total_pnl,0.8642999999999998
short_stats.profit_factor,1.5763152630526105
mae_mfe_avg_mae,
mae_mfe_avg_mfe,
mae_mfe_avg_mae_winners,
mae_mfe_avg_mae_losers,
mae_mfe_avg_mfe_winners,
mae_mfe_avg_mfe_losers,
initial_capital,93.79638614639681
mode,backtest
calculated_at,2026-05-15T13:28:49.866871+00:00
