Metric,Value
total_trades,5
winning_trades,0
losing_trades,5
trades_per_day,2.6422018348623855
win_rate,0.0
profit_factor,0.0
r_ratio,0.0
avg_win,0.0
avg_loss,1.96894
expectancy,-1.96894
kelly_criterion,0.0
total_pnl,-9.8447
total_return_pct,-10.817222463276845
gross_profit,0
gross_loss,9.8447
total_fees,0.7631000000000001
best_trade,-1.1324
worst_trade,-3.0741
cagr_pct,
cagr_note,insufficient_data (< 30d)
elapsed_days,1.8923611111111112
sharpe_ratio,0.0
sortino_ratio,0.0
calmar_ratio,0.0
sharpe_note,insufficient_period (< 30d)
max_drawdown_pct,10.817222463276849
max_drawdown_usdt,9.844700000000003
recovery_factor,-0.9999999999999997
max_consecutive_wins,0
max_consecutive_losses,5
consecutive_loss_drawdown,9.8447
avg_holding_time_hours,1.2333333333333334
avg_holding_time_winners_hours,0.0
avg_holding_time_losers_hours,1.2333333333333334
long_stats.count,1
long_stats.win_rate,0.0
long_stats.avg_pnl,-2.577
long_stats.total_pnl,-2.577
long_stats.profit_factor,0.0
short_stats.count,4
short_stats.win_rate,0.0
short_stats.avg_pnl,-1.8169250000000001
short_stats.total_pnl,-7.2677000000000005
short_stats.profit_factor,0.0
mae_mfe_avg_mae,
mae_mfe_avg_mfe,
mae_mfe_avg_mae_winners,
mae_mfe_avg_mae_losers,
mae_mfe_avg_mfe_winners,
mae_mfe_avg_mfe_losers,
initial_capital,91.00949928155364
mode,backtest
calculated_at,2026-05-15T13:28:50.062487+00:00
